Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Pelagibacterium	0.00332	0.00997	0	0	0.103	0.00999	0	0.00668	0.00334	0.0134	0.0232	0.00333	0.00334	0	0.00997	0.0233	0	0	0	0	0.00665	0	0.0134	0	0	0.00334	0.00332	0	0	0	0.00333	0.00665	0.00664	0.2
Paracoccus	0.00664	0.0332	0.00666	0.00669	0.0266	0.00333	0.0167	0.0434	0.0501	0.01	0.0763	0.02	0	0.00998	0.0797	0.0166	0	0	0	0	0.0133	0	0.0769	0.00666	0.0134	0.00334	0.00332	0.00665	0	0	0	0	0.0199	0.2
Kocuria	0.00332	0.0897	0.00333	0.00669	0.0466	0.00333	0.0167	0.16	0	0.0134	0.0398	0.00333	0	0.00333	0.00664	0.00997	0.00999	0.0167	0.0632	0.00334	0.00665	0.00669	0.00334	0.00666	0.207	0.00334	0.0398	0.0233	0	0.00333	0.00665	0.0233	0.0631	0.2
Jeotgalicoccus	0.00332	0.0864	0	0.0301	0.0299	0.00333	0	0.0301	0.00334	0	0.0564	0	0	0	0	0	0	0.00333	0	0	0.00333	0.0301	0.00334	0.00333	0	0	0	0.00332	0	0	0	0.00333	0	0.2
Deinococcus	0	0.00332	0	0.00334	0.0166	0	0.334	0.741	0.104	0.0134	0.00332	0	0	0	0	0	0	0	0.0166	0	0.00333	0	0.0134	0.0133	0.167	0.294	0.00332	0.0831	0	0.00666	0	0	0.00664	0.2
Blautia	0.0166	0.00332	0.0366	0.0201	0.00333	0.03	0	0	0.0134	0.01	0.0332	0.0499	0.00668	0.0299	0.0133	0.0166	0.00999	0.01	0.00665	0.01	0.00998	0	0.0234	0.0466	0	0.00334	0.00332	0.00665	0.0133	0.02	0.0166	0.0133	0.0133	0.2
Cellulosilyticum	0	0	0.0133	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0.244	0.153	0	0	0	0	0	0	0	0	0	0.2
Comamonas	0	0	0.00333	0	0	1.29	0	0.00334	0	0	0.00664	0.00665	0	0	0	0.00332	0.00666	0	0.0266	0	0	0.211	0.0334	1.67	0	0.12	0.0896	0	0	0	0	0.00665	0.00332	0.2
Algoriphagus	0	0	0	0	0	0	0	0	0.227	0	0.00332	0	0	0	1.13	0	0	0	0	0	0	0	0.431	0.00666	0	0.277	0	0	0	0	0	0	0	0.2
Desulfosporosinus	0	0.00332	0.0167	0	0	0	0	0.00334	0.00334	0	0	0.343	0	0	0	0	0	0	0	0	0	0.00334	0.598	0	0	0	0.0398	0.00332	0	0	0	0	0	0.2
Delftia	0.0897	0.0299	1.39	0	0.00333	4.13	0	0.01	1.7	0	0.0299	0.156	0	4.21	0.0233	0.675	0.293	0.02	0	0.00334	0.0366	0.0167	1.31	0.107	0.0401	0.391	0.0133	0.346	0.13	0.02	0.0333	0	0	0.2
Caulobacter	0	0.00332	0	0	0	0.00999	0.00334	0	0.271	0	0	0	0	0.00665	0.0631	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.00332	0.207	0	0	0	0	0.2
Clostridium_XlVb	0.00664	0	0.31	0	0	0.00333	0	0.02	0.00669	0	0.00332	1.43	0	0	0	0.00332	0	0	0	0	0	0	0	0	0	0.00334	0.00332	0	0	0	0	0	0	0.1
Micrococcus	0.00664	0.113	0.00666	0	0.00333	0	0	0.00668	0	0	0	0	0	0.00333	0	0	0	0.00666	0.00665	0	0.00333	0	0	0	0	0	0.00332	0.0199	0	0	0	0	0.00996	0.1
Dermacoccus	0.0299	0.0399	0.0366	0	0.00665	0	0	0	0	0	0.00664	0.00333	0.00334	0.00665	0	0.00332	0.0366	0.0267	1.48	0	0	0.00669	0	0	0.0234	0	0.00664	0.0598	0	0.01	0.02	0.00665	0.0199	0.1
Sporomusa	0	0.00332	0.0267	0	0	0.00666	0	0	0	0	0	0.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0.1
Peredibacter	0	0	0	0	0	0	0	0	0.381	0	0	0	0.02	0.00333	0	0.00332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Aminobacter	0.00332	0.00665	0	0	0.00333	0.00666	0	0	0.12	0	0.00664	0	0	0	0	0.00332	0	0	0.00333	0	0.00333	0	0	0.00333	0	0	0	0	0	0.00333	0	0	0	0.1
Citrobacter	0	0.00665	0.01	0	0	0	0	0	0	0	0.0133	0	0	0.00333	0.00332	0.0765	0.163	0	0	0	0	0	0	0	0	0	0.00664	0	0	0	0.609	0.449	0.00332	0.1
Citricoccus	0.00664	0.0366	0	0.00669	0.0166	0.00999	0.00668	0.00334	0.0535	0.01	0.113	0	0.0234	0	0.00997	0	0	0	0.00333	0	0.00998	0.00669	0	0.00333	0.0167	0	0	0.00665	0.00333	0	0	0	0	0.1
Cereibacter	0.00997	0.00665	0	0	0	0	0	0.01	0.0234	0	0.00332	0.00333	0	0.00665	0.00332	0	0	0	0	0	0.835	0	4.36	7.06	0.00334	0.0501	0.00332	0.00332	0	0	0.00333	0	0.00332	0.1
Chlorophyta	0.00664	0.0166	0	0	0.00333	0	0.00334	0.00334	0	0	0.0232	0	0	0	0.00332	0.00997	0.00333	0.00333	0.0166	0	0	0.00334	0.0167	0	0.0301	0.00334	0.00664	0.00665	0	0	0.0299	0.0233	0.139	0.1
Mycobacterium	0.00997	0.0299	0.00333	0	0.00665	0.00666	0	0.117	0.01	0	0.00996	0.00665	0	0.00333	0.00664	0.0432	0	0	0	0	0	0	0.0167	0.00333	0	0.00668	0.00996	0.00332	0	0	0.00665	0.00333	0.0133	0.1
