Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
Plantibacter	1	1	1	26	2	0	17	14	180	30	3	0	62	1	28	0	2	0	0	3	13	6	9	15	5	20	6	4	599	49	7	6	2
Porphyrobacter	1	1	3	0	7	7	0	1	21	0	3	0	27	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0
Promicromonospora	0	1	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Propionibacterium	1	30	0	2	1	0	9	47	26	1	5	0	3	0	1	3	0	6	22	4	1	0	7	0	2	11	7	0	1	0	2	1	9
Propionicimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	3	0	0	0	0	0	0	0	0	0
Pseudoclavibacter	0	2	0	6	4	0	3	16	5	81	2	0	3	3	29	4	0	6	1	15	182	11	7	6	16	4	33	60	1	9	2	9	13
Pseudoflavonifractor	4	0	1	5	0	0	0	0	0	1	7	3	0	2	2	2	2	1	0	0	3	0	3	1	0	0	1	0	2	1	0	1	0
Pseudomonas	11631	8444	12025	19147	2079	5561	5078	1533	3211	14821	957	9195	31164	6510	12262	2218	14845	18875	15468	8	14358	14994	6219	4804	15833	8171	26876	9572	4678	1663	5801	14152	4776
Pseudorhodoferax	0	0	0	0	0	0	0	0	22	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0
Pseudoxanthomonas	0	4	1	0	0	1	1	1	141	0	14	6	0	11	0	18	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
Psychrobacter	0	0	0	0	0	0	132	67	0	42	0	2	0	0	5	0	2	15	168	0	14	17	0	0	14	0	616	45	0	0	6	2	2
Pusillimonas	0	0	4	0	3	23	0	2	98	0	4	5	0	0	0	19	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1
Raoultella	0	0	5	0	2	0	0	0	0	0	4	8	0	24	1	28	2	32	0	0	1	3	0	1	0	0	0	0	0	0	221	322	18
Reyranella	0	3	0	0	0	0	2	0	1	0	11	0	23	0	6	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	1
Rheinheimera	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	242	0	0	757	0	0	0	0	80	1	0
Rhizobium	334	132	37	12	5	160	19	72	2273	29	71	12	17	66	257	135	3	11	4	15576	472	11	21321	963	23	17245	14	217	1	103	11	24	37
Rhodococcus	168	85	15	18	2	8	19	48	67	107	55	6	11	27	302	7	2	21	11	0	131	5	91	348	9	77	130	166	98	35	11	42	24
Rickettsia	0	0	0	0	2	0	0	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	1	0	0	0	0	0	0
Romboutsia	0	2	0	0	0	0	15	106	30	0	1	0	7	2	2	1	0	1	1	0	1	1	18	0	5	18	0	2	0	0	0	0	0
Roseomonas	0	1	0	0	0	17	1	20	51	0	0	0	1	14	2	1	0	0	0	0	0	0	17	6	0	22	0	2	0	1	0	0	0
Rothia	0	41	12	0	1	0	0	2	0	2	22	5	12	0	3	4	3	7	37	0	0	4	3	0	7	0	3	12	0	0	15	28	62
Ruminococcus	1	0	0	1	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
Ruminococcus2	3	0	5	1	0	2	0	1	1	1	3	9	0	6	3	2	1	0	0	0	2	0	2	5	0	0	1	0	0	0	2	3	1
Saccharibacillus	0	3	90	0	0	34	6	0	4	6	2	476	0	2276	2	0	0	7	0	0	1	6	0	0	51	0	29	25	0	3	8	70	3
Saccharibacteria_genera_incertae_sedis	0	0	2	0	0	0	0	1	2	0	1	0	0	0	0	2	0	0	0	0	0	0	126	5	1	1	0	51	0	0	0	1	0
Salinicoccus	0	1	0	10	7	0	0	2	0	4	6	0	3	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
Sanguibacter	49	34	7	1	10	4	2	0	6	32	56	21	113	259	24	1	124	1451	1075	0	1455	148	136	149	405	401	2779	2781	2	1	84	136	135
Sedimentibacter	0	0	753	0	0	0	0	0	0	0	0	261	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Serratia	1784	58	0	2	8	0	2	57	1	24	3	37	1	2	317	3	285	85	215	1	15	336	7	6	8	6	114	1	1	0	453	1775	8468
Shinella	31	10	5	0	0	3	0	1	76	3	0	0	6	0	12	4	0	0	0	1	0	0	4	2	1	177	1	1	0	0	0	0	1
Singulisphaera	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solibacillus	0	0	0	0	13	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacterium	6079	562	951	10	41	1926	188	115	5830	6580	597	751	3114	4679	738	729	7	5077	575	3	421	5556	1789	9993	593	316	1054	90	889	14173	99	1226	1483
Sphingobium	4	3	7	0	1	32	7	75	28	2	5	2	3804	1	18	0	2	2	2	1	8143	2	2412	383	9	3126	6	18	190	37	0	3	1
Sphingomonas	3	9	20	3	4	33	2164	8652	310	3	17	12	130	21	59	15	0	6	3	0	110	8	5	1	2	6	6	9	1	4	2	6	12
Sphingopyxis	8	21	3	1	0	4	0	16	417	1	2	0	138	3	4	27	0	0	0	0	0	0	4	0	0	1	0	0	0	2	0	0	0
Sphingorhabdus	0	9	0	0	0	0	1	4	5	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	1	1	0	2	0	0	0	0	0
Sphingosinicella	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	12	0	0	0	0	0	0	0
Sporomusa	0	1	11	0	0	2	0	0	0	0	0	76	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
