names,G1CA,G1CB,G1CC,G1IA,G1IB,G1IC,G1P1A,G1P1B,G1P1C,G1P2A,G1P2B,G1P2C,G1SA,G1SC,G1STA,G1STC,G2CA,G2CB,G2CC,G2IA,G2IB,G2IC,G2P1A,G2P1B,G2P1C,G2P2A,G2P2B,G2P2C,G2SA,G2SC,G2STA,G2STB,G2STC
Oral,0.03700703,0.114193796,0.007520795,0.000113788,0.000845083,5.07E-06,6.72E-05,1.40E-42,1.26E-05,0.024167382,0.082614918,4.35E-24,2.53E-14,1.99E-08,0.007866804,4.29E-10,6.47E-07,0.018881755,0.106814632,0.000485645,1.52E-17,0.018122432,3.19E-10,3.74E-13,0.076821153,4.01E-18,8.21E-08,0.005436767,1.62E-12,1.12E-09,9.79E-15,0.001525607,2.42E-13
Oral,0.016489635,0.003172999,0.004114181,0.000921544,0.000488996,0.008107293,0.000335188,3.55E-36,0.000512978,0.019757652,1.35E-30,2.74E-13,0.119862223,1.81E-08,0.026924864,0.060247012,1.79E-05,0.008473171,2.06E-05,7.09E-05,1.99E-15,2.38E-06,5.54E-05,0.000115112,1.83E-06,2.28E-15,5.10E-10,0.002407768,1.54E-13,4.58E-13,5.27E-12,9.45E-10,1.91E-09
Oral,3.35E-06,0.011684278,0.000624298,8.19E-07,7.04E-05,9.92E-07,4.58E-09,7.11E-35,2.20E-07,6.30E-07,1.81E-14,1.20E-14,2.81E-21,0.007459402,2.36E-08,0.03569413,0.055674564,0.002076221,2.82E-05,2.40E-12,2.76E-08,3.59E-06,3.85E-06,2.45E-06,0.000192629,1.64E-06,0.000120035,8.80E-09,6.84E-05,7.79E-12,0.06453622,0.292313857,0.128907443
Oral,0.000192648,0.000685943,9.06E-05,1.49E-05,3.61E-06,0.107689307,1.25E-13,2.51E-34,0.02352433,1.72E-10,0.003819758,0.008668214,9.44E-30,0.025074133,2.45E-07,0.000690979,0.008678881,1.74E-05,2.82E-05,1.19E-08,2.02E-12,3.11E-09,0.000134696,0.002010121,3.53E-06,0.027552329,3.54E-09,0.001620607,0.050261053,3.31E-08,0.006817035,7.77E-20,4.49E-11
Oral,0.000153286,0.002177187,0.002011939,1.24E-06,6.11E-05,1.76E-06,4.18E-08,1.92E-41,6.05E-10,0.000253222,2.31E-06,7.46E-05,3.74E-31,0.052375921,4.80E-08,2.71E-06,0.000364102,0.001137263,0.000996362,3.90E-10,2.31E-12,1.82E-11,6.99E-09,2.96E-17,1.72E-05,2.30E-11,2.98E-09,0.000159145,1.42E-07,1.00E-20,5.83E-06,7.59E-14,1.46E-28
Oral,1.40E-10,2.74E-09,0.006887542,0.074081717,0.000513266,0.009580344,3.24E-23,2.65E-86,4.48E-08,3.72E-11,2.53E-47,0.246627243,1.17E-56,0.17714356,9.20E-25,1.13E-07,0.058041066,0.00421726,1.45E-05,1.53E-11,4.39E-27,1.84E-18,0.00034306,1.30E-09,0.035838076,0.131573102,0.123875958,0.004450718,0.290405497,8.70E-24,5.01E-07,3.82E-27,5.69E-45
Oral,0.002177296,0.000434827,0.009952153,4.77E-05,0.000632064,0.004590941,1.00E-06,1.37E-41,7.67E-06,5.32E-05,5.09E-12,0.00327396,1.62E-33,0.027005203,2.00E-06,1.89E-08,0.00274584,0.077178714,0.004887141,1.71E-09,7.37E-23,4.62E-15,3.56E-05,2.29E-08,0.001426723,9.01E-05,0.00498145,0.166573448,0.001329673,4.93E-17,1.86E-10,2.60E-18,3.10E-37
Oral,0.002702921,0.01041759,0.000224807,0.00388719,0.009820305,0.000259507,6.80E-07,2.82E-60,2.44E-07,0.001403951,3.77E-28,2.33E-18,4.60E-12,0.004287997,0.007495721,3.74E-08,0.00044109,0.007818041,9.75E-06,0.000186047,3.95E-08,8.88E-07,5.24E-06,3.04E-08,2.61E-07,2.22E-12,6.93E-10,3.07E-05,1.07E-06,8.11E-15,2.07E-07,4.46E-10,7.55E-25
Oral,0.004932831,0.093890246,0.000153391,0.000226891,0.011276931,4.73E-09,0.000242867,8.96E-23,7.57E-07,0.00764343,0.00028125,4.26E-27,4.44E-25,7.38E-07,0.000146558,1.65E-07,5.77E-06,0.000133089,0.015660739,3.81E-06,1.74E-14,0.000138284,2.59E-07,1.61E-09,0.023306641,2.35E-32,2.61E-14,0.000116023,2.22E-16,5.65E-17,4.46E-06,3.19E-06,4.22E-17
Oral,0.000116073,0.066698401,0.002797122,0.002317198,0.130987059,1.37E-07,0.000839042,2.28E-14,1.34E-07,0.00345569,0.066403626,1.39E-37,1.41E-18,3.15E-07,0.000941028,1.44E-05,1.54E-06,0.000243652,0.009327069,0.000156606,3.04E-16,9.75E-09,0.000108341,2.61E-06,3.33E-10,7.14E-21,4.91E-17,0.000443675,2.56E-17,3.51E-13,5.66E-06,0.105993423,5.14E-24
