Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Chlorophyta	0.00738	0.0185	0	0	0.0037	0	0.00371	0.00371	0	0	0.0223	0	0	0	0.00369	0.0112	0.0037	0.0037	0.0185	0	0	0.00371	0.0185	0	0.0297	0.00371	0	0.00744	0	0	0.0334	0.0259	0.141	0.2
Mycobacterium	0.0111	0.0332	0.0037	0	0.00739	0.0074	0	0.119	0.0111	0	0.00743	0.00739	0	0.0037	0.00738	0.0447	0	0	0	0	0	0	0.0185	0.0037	0	0.00742	0.00743	0	0	0	0.00371	0.0037	0.0111	0.2
Citrobacter	0	0.00738	0.0111	0	0	0	0	0	0	0	0.0149	0	0	0.0037	0.00369	0.0782	0.181	0	0	0	0	0	0	0	0	0	0.00743	0	0	0	0.65	0.48	0.00371	0.2
Sphingobium	0.00738	0.00738	0.0185	0	0	0.118	0.0111	0.119	0.0482	0.0037	0.00743	0.0037	6.16	0.0037	0.0332	0	0.0037	0.0037	0.0037	0	15.7	0.00371	3.84	0.818	0.0148	5.05	0.0111	0.0298	0.396	0.0925	0	0.00739	0	0.2
Citricoccus	0.00738	0.0369	0	0.00742	0.0185	0.0111	0.00742	0.00371	0.0556	0.0111	0.115	0	0.026	0	0.0111	0	0	0	0.0037	0	0.0111	0.00742	0	0.0037	0.0186	0	0	0.00372	0.0037	0	0	0	0	0.2
Shinella	0.059	0.0185	0.0148	0	0	0.0111	0	0	0.156	0.00739	0	0	0.0111	0	0.0221	0.00372	0	0	0	0	0.0037	0	0.00742	0.0111	0	0.289	0	0	0	0	0	0.0037	0	0.2
Micrococcus	0.00738	0.118	0.0074	0	0.0037	0	0	0.00741	0	0	0	0	0	0.0037	0	0	0	0.0074	0.00739	0	0.0037	0	0	0	0	0	0.00372	0.0186	0	0	0	0	0.00371	0.2
Sporomusa	0	0.00369	0.0296	0	0	0.0074	0	0	0	0	0	0.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00371	0	0	0	0	0	0	0	0.2
Desulfosporosinus	0	0.00369	0.0185	0	0	0	0	0.00371	0.00371	0	0	0.384	0	0	0	0	0	0	0	0	0	0.00371	0.601	0	0	0	0.0446	0	0	0	0	0	0	0.2
Turicibacter	0	0	0	0	0	0.0037	0.00742	0.0482	0.0408	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148	0	0	0.00742	0	0	0	0	0	0	0	0.2
Rheinheimera	0	0	0	0	0	0	0	0	0	0	0	0	0.0556	0	0	0	0	0	0	0	0	0	0.319	0	0	0.0408	0	0	0	0	0.137	0.0037	0	0.2
Trichococcus	0.00369	0.0258	0	0	0	0	0	0.00371	0.00371	0	5.92	0.303	0	0	0.00369	0	0	0.0074	0.103	0	0.0037	0.0668	0	0	0	0	0.00372	0	0	0	0.0149	0.942	0.234	0.2
Faecalibacterium	0.048	0.00369	0.0592	0.052	0.0148	0.0481	0	0	0	0.0665	0.078	0.0924	0	0.074	0.0332	0.0261	0.0222	0.0185	0.0037	0.0185	0.0185	0	0.0482	0.0703	0	0	0.00743	0	0.037	0.0481	0.0149	0.0406	0.0186	0.2
Pseudoxanthomonas	0	0.00738	0.0037	0	0	0.0037	0	0	0.234	0	0.0223	0.0148	0	0.0222	0	0.0298	0	0	0	0	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Anaerospora	0	0	0.0778	0	0	0.0666	0	0	0	0	0	0.122	0	0.0962	0	0.00372	0	0.0037	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Escherichia/Shigella	0.00369	0.0148	0.115	0	0	0.0259	0	0.0556	0.0556	0.0111	0.0706	1.12	0	0.0851	0.00369	0.119	0.0148	0	0.0111	0	0.0148	0.00742	0.00742	0.0185	0	0.00371	0.00372	0.00372	0	0	0.0371	0.0259	0.00371	0.2
Aquabacterium	0	0	0	0	0	0	0	0.00371	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Planococcus	0.0922	0.0185	0	0.0705	0.0296	0	0.0928	0.163	0.0185	0.721	0.156	0	0.312	0	0.103	0	0	0	0.0037	0	0.0148	0.00371	0.282	0.0074	0.868	0	0.0111	0.00744	0	0	0	0	0	0.2
Rhodococcus	0.314	0.162	0.037	0.0297	0.00739	0.0296	0.0297	0.0741	0.111	0.211	0.0966	0.0148	0.0185	0.0555	0.565	0.0112	0.0037	0.0518	0.0222	0	0.255	0.00742	0.145	0.751	0.0148	0.126	0.238	0.305	0.207	0.0851	0.0186	0.085	0.0408	0.2
Jonesia	0	0.0295	0.0111	0	0	0	0	0	0	0	0.0297	0.226	0	0.0111	0	0	0	0.0037	0	0	0.0813	0.00371	0	0.0333	0.00742	0	0.0223	0	0	0.0037	0	0.0037	0	0.2
Jeotgalicoccus	0.00369	0.0295	0	0.0297	0.0296	0.0037	0	0.00741	0.00371	0	0.0557	0	0	0	0	0	0	0.0037	0	0	0.0037	0.0334	0.00371	0.0037	0	0	0	0	0	0	0	0.0037	0	0.2
Dermacoccus	0.0332	0.0406	0.0407	0	0.00739	0	0	0	0	0	0	0.0037	0.00371	0.0074	0	0	0.037	0.0296	1.65	0	0	0.00742	0	0	0.0223	0	0.00372	0.0595	0	0.0111	0.0223	0.00739	0.0186	0.2
Pusillimonas	0	0	0.0111	0	0.00739	0.0851	0	0.00371	0.163	0	0.00743	0.0111	0	0	0	0.0335	0	0.0037	0	0	0	0	0	0.0037	0	0	0	0	0	0	0	0	0	0.1
