ID	FR1	FR2	FR3	FR4	FR5	FR6	GR1	GR2	GR3	GR4	GR5	GR6	HR1	HR2	HR3	HR4	HR5	HR6	SR1	SR2	SR3	SR4	SR5	SR6
921	24	9	23	1	0	1	18	8	51	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0
922	0	7	0	16	6	25	0	5	20	0	0	0	0	1	0	0	3	0	0	0	6	11	20	11
923	0	2	10	0	3	0	28	23	74	0	0	0	7	0	0	0	1	2	0	1	0	1	0	5
924	0	0	9	0	90	0	7	7	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
925	0	2	7	2	6	2	8	9	39	0	58	0	0	0	0	0	1	0	0	1	3	15	4	15
926	3	0	3	3	2	3	7	0	20	1	75	1	0	0	0	2	5	5	26	18	21	1	3	8
927	1	0	1	1	1	3	3	0	1	1	0	4	0	0	25	9	4	8	16	0	2	7	13	17
928	10	10	5	2	34	10	46	21	5	15	24	22	1	1	9	1	1	8	25	16	12	7	1	7
929	0	1	7	17	4	4	0	0	7	29	11	3	0	0	23	10	6	8	0	0	5	7	5	4
93	4	2	16	62	9	82	4	0	0	277	2	653	48	48	104	89	75	128	16	20	16	55	25	56
930	1	0	2	2	26	0	0	0	6	7	0	1	3	3	0	4	5	6	6	2	8	16	18	17
931	2	2	10	1	7	5	1	0	0	1	4	12	0	0	0	2	3	9	4	0	4	15	40	30
932	0	1	0	0	6	1	0	0	0	30	0	73	3	0	0	1	1	2	0	0	0	0	0	0
933	0	0	0	0	0	0	0	0	1	0	119	0	7	4	0	0	0	0	0	0	0	2	1	0
934	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0
935	18	17	21	1	10	4	4	10	37	3	1	3	6	7	0	9	9	9	1	3	12	3	9	2
936	10	28	24	2	0	3	8	6	24	3	0	1	2	3	0	2	2	2	2	11	10	3	4	11
937	2	5	2	3	2	1	0	3	0	5	0	8	0	0	0	2	3	2	13	34	13	30	27	20
938	2	4	3	7	0	2	8	0	0	2	0	2	1	0	7	4	1	2	36	12	2	4	8	9
939	22	25	13	0	0	0	8	10	17	0	0	0	2	2	0	0	0	0	27	18	25	11	2	3
94	0	10	75	75	248	41	35	38	94	2	11	6	4	4	31	24	12	17	224	166	292	80	125	56
