ID	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
1126	0	0	0	0	0	2	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1127	0	0	0	0	0	0	1	1	0	2	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1129	0	1	0	0	0	0	1	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
113	1	1	0	1	0	0	0	0	85	1	0	1	0	0	16	0	0	0	0	0	0	0	846	37	0	0	0	0	0	5	0	0	0
1130	0	1	0	0	0	0	0	0	4	0	0	0	2	1	1	0	0	1	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0
1131	0	0	1	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1132	1	1	0	0	0	0	0	0	52	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1134	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1136	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
1137	0	0	0	0	0	0	0	0	0	0	0	1	0	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1138	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1139	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	1	6	1	0	84	0	6	104	2	76	5	1	0	0	29	0	0	1	0	0	1	36	4	1	134	0	10	854	0	56	0	1	0
1143	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	156	129	1
1144	1	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1145	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1146	0	1	3	0	0	0	0	0	0	0	0	23	0	1	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1148	0	3	1	0	0	0	0	1	3	0	3	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0
1149	0	4	1	0	2	1	3	2	7	0	50	14	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
115	1	1	0	0	0	0	0	1	38	1	0	1	0	0	0	0	0	456	375	0	7	54	0	0	97	0	34	0	102	55	8	28	2
1150	0	17	1	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1151	0	3	0	0	0	0	0	0	5	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1152	0	1	6	0	1	0	0	0	16	0	1	2	0	7	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1153	0	3	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1154	0	3	1	0	0	0	0	2	6	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1157	0	3	1	0	7	0	3	5	8	1	11	2	0	2	2	2	0	0	0	0	4	0	2	0	2	0	0	0	0	0	0	0	2
1159	0	2	10	0	0	0	0	0	0	0	0	0	0	3	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	0	1	0	4	0	0	0	1	21	1	0	1	3	1	2	0	0	421	406	0	7	52	0	0	96	0	31	0	129	56	16	33	6
1162	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1163	0	0	0	0	0	0	2	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
1164	0	0	0	0	0	0	4	5	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
