ID	SA01	SA03	SA04	SA05	SA06	SA07	SA09	SA11	SA12	SA13	SA14	SA15	SA16	SA17	SA18	SA19	SB01	SB02	SB03	SB04	SB05	SB06	SB07	SB08	SB09	SB10	SB11	SB12	SB13	SB15	SB16	SB17	SB18	SB19	SC01	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09	SC10	SC11	SC12	SC13	SC14	SC15	SC17	SC18	SC19	SD01	SD02	SD03	SD04	SD05	SD06	SD07	SD08	SD09	SD10	SD11	SD12	SD13	SD14	SD15	SD17	SD18	SD19
726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
727	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	3	1	0	1	0	0	3	8	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	3	1	6	1	1	3	0	0	0	1	2	1	2	1	0	6	2	13	7	1	2
73	2	2	3	4	11	2	3	0	0	1	0	2	3	53	57	29	6	33	28	121	517	380	45	63	71	103	163	202	93	203	42	36	115	48	0	2	1	1	0	7	2	0	0	0	1	1	16	10	177	4	2	43	2	1	1	0	6	8	2	2	2	1	0	5	2	1	2	3	4	3
731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	14	0	0	4	2	2	0	1	1	0	4	4	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
733	5	1	2	3	0	0	4	0	3	4	5	7	5	3	0	0	0	0	0	0	2	2	0	0	3	1	7	1	3	2	1	0	4	1	3	0	6	1	4	0	0	1	0	0	0	0	1	4	7	1	4	13	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2
734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
735	1	1	2	0	0	0	1	2	2	2	3	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	2	0	1	1	1	0	0	1	1	2	1	1	0	1	1	1	1	0	0	1	0	0	2	2	1	0	1	4	1	4	2	0	3	0	1	2	0	1
736	2	1	2	2	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	6	8	28	105	64	42	51	11	2	1	9	6	2	3	0	6	7	1	0	1	2	5	55	28	29	5	29	1	3	0	2	8	4	5	3	4	1	3	6	14	11	7	9	1	6	0	3	4	5
737	0	0	0	0	1	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	4	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	3	0	2	0	2	0	0	0	0	2	0	1	2	0	4
738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	1	0	1	3	1	2	3	1	8	0	7	5	0	3
739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	3	1	2	1	8	0	4	0	1	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	5	2	5	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0
74	0	1	0	0	0	30	28	118	54	1	0	0	0	0	0	0	272	162	9	6	24	17	65	303	105	171	297	85	183	1	17	147	67	95	0	0	0	0	0	0	2	1	0	3	0	2	0	1	1	3	1	45	5	2	1	0	1	0	1	2	2	19	140	96	40	3	0	10	3	0
740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0	0	1	3	0	0	1	1	1	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	4	6	1	1	1	2	0	0	1	0	1	0	3	3	0	3
742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	4	0	5	6	0	1	1	5	3	1	2	4	4	4
